ID,Title,Author,GameStyle,Difficulty,ClearRate,Stars,PlayersPlayed,Clears,RoundsPlayed,Flag,Tag,Link
BE78-0000-03EC-E534,上からマリオ,ゆうと,sbu,Easy,8.33%,10,10,1,12,JP,---,https://supermariomakerbookmark.nintendo.net/courses/BE78-0000-03EC-E534
458B-0000-03EC-DA15,Ya&#39;llGonnaMakeMeLoseMy&#39;Shroom,wilsonpenn,sbu,Expert,6.70%,13,14,13,194,US,Theme,https://supermariomakerbookmark.nintendo.net/courses/458B-0000-03EC-DA15
C9DA-0000-03ED-0B88,The Real Slim Lanky,Gheb,sb,Expert,3.86%,12,14,10,259,AT,---,https://supermariomakerbookmark.nintendo.net/courses/C9DA-0000-03ED-0B88
A9F2-0000-03E5-E5EE,六厘車,ゆうと,sbu,Expert,3.30%,68,75,3,91,JP,---,https://supermariomakerbookmark.nintendo.net/courses/A9F2-0000-03E5-E5EE
F7D2-0000-03EB-BFB3,Spring-Drop Practice.,Oshikorosu,sbu,Normal,26.87%,11,22,18,67,CA,---,https://supermariomakerbookmark.nintendo.net/courses/F7D2-0000-03EB-BFB3
0197-0000-03EB-BF54,Marios Explosive Reflex 20 sec,Grant,sbu,Super Expert,1.00%,10,14,5,502,US,---,https://supermariomakerbookmark.nintendo.net/courses/0197-0000-03EB-BF54
1600-0000-03D9-42A6,Tech#11 One-Side Wall Kick,しんご,sbu,Easy,21.14%,76,85,26,123,JP,Gimmick,https://supermariomakerbookmark.nintendo.net/courses/1600-0000-03D9-42A6
AF6E-0000-03ED-092D,Easy&#39;s Bowsers Friends Come Back,GTRP_Easy,sbu,Normal,15.91%,9,17,14,88,DE,---,https://supermariomakerbookmark.nintendo.net/courses/AF6E-0000-03ED-092D
4AC7-0000-03EC-2513,TUTANINORITOGENIATARANAIYOUNI!!!,こう,sbu,Normal,25.93%,9,10,7,27,JP,---,https://supermariomakerbookmark.nintendo.net/courses/4AC7-0000-03EC-2513
03BC-0000-03E9-CDBC,Snake Dungeon,Sam,sw,Expert,10.81%,9,10,8,74,GB,---,https://supermariomakerbookmark.nintendo.net/courses/03BC-0000-03E9-CDBC
69AE-0000-03E9-B041,bored waiting for smm2NotReally♪,Beano,sbu,Easy,93.33%,9,14,14,15,GB,---,https://supermariomakerbookmark.nintendo.net/courses/69AE-0000-03E9-B041
