ID,Title,Author,Theme,Difficulty,ClearRate,Stars,PlayersPlayed,Clears,RoundsPlayed,Flag,Tag,Link
30BC-0000-03ED-075B,やっぱりマリメ2発売まではここに残留します! «全自動»,TKT,sbu,Easy,70.59%,11,12,12,17,JP,---,https://supermariomakerbookmark.nintendo.net/courses/30BC-0000-03ED-075B
BE78-0000-03EC-E534,上からマリオ,ゆうと,sbu,Easy,6.25%,14,14,1,16,JP,---,https://supermariomakerbookmark.nintendo.net/courses/BE78-0000-03EC-E534
458B-0000-03EC-DA15,Ya&#39;llGonnaMakeMeLoseMy&#39;Shroom,wilsonpenn,sbu,Expert,7.27%,16,17,16,220,US,Theme,https://supermariomakerbookmark.nintendo.net/courses/458B-0000-03EC-DA15
F7D2-0000-03EB-BFB3,Spring-Drop Practice.,Oshikorosu,sbu,Easy,27.94%,12,23,19,68,CA,---,https://supermariomakerbookmark.nintendo.net/courses/F7D2-0000-03EB-BFB3
A9F2-0000-03E5-E5EE,六厘車,ゆうと,sbu,Expert,3.26%,69,76,3,92,JP,---,https://supermariomakerbookmark.nintendo.net/courses/A9F2-0000-03E5-E5EE
8AE7-0000-03ED-1A73,合宿なので木曜までマリメ出来ないです…　«YとB+↑»,TKT,sbu,Easy,36.00%,10,11,9,25,JP,---,https://supermariomakerbookmark.nintendo.net/courses/8AE7-0000-03ED-1A73
0197-0000-03EB-BF54,Marios Explosive Reflex 20 sec,Grant,sbu,Super Expert,1.00%,10,14,5,502,US,---,https://supermariomakerbookmark.nintendo.net/courses/0197-0000-03EB-BF54
1600-0000-03D9-42A6,Tech#11 One-Side Wall Kick,しんご,sbu,Easy,21.14%,76,85,26,123,JP,Gimmick,https://supermariomakerbookmark.nintendo.net/courses/1600-0000-03D9-42A6
4AC7-0000-03EC-2513,TUTANINORITOGENIATARANAIYOUNI!!!,こう,sbu,Normal,25.93%,9,10,7,27,JP,---,https://supermariomakerbookmark.nintendo.net/courses/4AC7-0000-03EC-2513
03BC-0000-03E9-CDBC,Snake Dungeon,Sam,sw,Expert,10.81%,9,10,8,74,GB,---,https://supermariomakerbookmark.nintendo.net/courses/03BC-0000-03E9-CDBC
69AE-0000-03E9-B041,bored waiting for smm2NotReally♪,Beano,sbu,Easy,93.33%,9,14,14,15,GB,---,https://supermariomakerbookmark.nintendo.net/courses/69AE-0000-03E9-B041
F40A-0000-03EB-80F6,Shell Region,【Red】いーぶい,sw,Super Expert,0.58%,15,19,4,688,JP,Gimmick,https://supermariomakerbookmark.nintendo.net/courses/F40A-0000-03EB-80F6
7916-0000-03EC-D4BD,4-2 Grab Your Weapons (Classic),Eagleclaw,sw,Super Expert,1.86%,14,16,10,538,US,---,https://supermariomakerbookmark.nintendo.net/courses/7916-0000-03EC-D4BD
6565-0000-03EC-8E2F,Last Action Hero #FCR,flyvox,sb3,Expert,3.29%,14,21,17,516,DE,---,https://supermariomakerbookmark.nintendo.net/courses/6565-0000-03EC-8E2F
8E1D-0000-03EA-E537,juggle like you never juggled b4,Donutboy,sb3,Super Expert,0.31%,14,19,4,1305,DE,---,https://supermariomakerbookmark.nintendo.net/courses/8E1D-0000-03EA-E537
88E1-0000-03E0-5C08,pow-beatel JUMP,Karl,sb,Normal,38.71%,14,16,12,31,DE,---,https://supermariomakerbookmark.nintendo.net/courses/88E1-0000-03E0-5C08
024D-0000-03EB-9A4B,ドカンに入らないとゴール出禁！ 7,まさかっちんんWWW,sbu,Easy,9.43%,85,98,10,106,JP,---,https://supermariomakerbookmark.nintendo.net/courses/024D-0000-03EB-9A4B
A3C2-0000-03EB-AA10,P&amp;Pow BFFs,John,sb3,Expert,9.32%,13,15,11,118,US,---,https://supermariomakerbookmark.nintendo.net/courses/A3C2-0000-03EB-AA10
60AD-0000-03E5-A905,Non-Lethal Land,Bethany,sw,Easy,49.46%,44,53,46,93,US,---,https://supermariomakerbookmark.nintendo.net/courses/60AD-0000-03E5-A905
